salario_medio_moradores_regiao,idade_media_casas_regiao,quantidade_media_comodos_regiao,quantidade_media_quartos_regiao,populacao_regiao,valor_casa
54794,5,8,4,39385,1000044
94923,5,8,3,43818,1967637
62058,7,6,3,28954,1114779
46952,6,5,4,31628,671662
67003,6,7,3,28464,1214987
87835,4,7,3,16250,1053237
73433,7,6,2,44544,1515005
70124,6,7,6,51673,1732196
84366,4,7,5,43445,1587122
60343,7,7,4,24199,1184894
71308,5,8,3,22710,1314349
65430,4,7,4,33320,717825
73591,5,6,2,51662,1441737
52805,7,6,4,37161,1119542
58187,6,7,4,31551,850977
70506,6,7,3,44706,1655467
77412,7,7,4,33258,1641740
65087,6,7,3,40283,1369977
72547,5,7,3,39218,1465836
78864,6,7,3,50194,1789335
67335,6,7,6,10311,863297
79552,5,6,3,50113,1425366
89089,7,9,5,49782,2271113
67110,7,7,6,31998,1370700
80778,6,6,3,34431,1566740
76624,5,6,4,47039,1436995
80011,6,6,2,26576,1345963
70472,6,6,3,34894,1265181
57456,5,7,6,37378,1061223
80000,5,5,3,42245,1383967
66387,5,7,5,22552,1051519
64699,6,6,4,49083,1550360
84777,5,6,2,42038,1375057
81196,6,7,3,49574,1882979
60690,7,7,3,35528,1274054
72000,7,7,3,27699,1426435
51144,6,6,4,39369,913587
57683,6,7,4,43348,1116731
63759,6,7,6,35071,1226587
68615,8,6,2,51791,1836978
66823,7,6,4,30852,1452154
67564,6,8,5,21880,1294750
68008,4,7,5,28908,1059871
73715,6,7,3,45540,1615347
50813,7,5,2,30767,1107692
83814,8,7,3,51538,2330290
51666,7,7,3,41926,1116193
69236,5,5,4,39399,1072254
81099,6,7,4,29780,1626942
59303,6,9,3,43609,1669681
69610,4,5,4,39210,806122
77402,5,7,6,39351,1680253
73386,4,7,4,38413,1186442
70961,8,6,2,38251,1766248
81181,6,8,5,26690,1641056
57272,7,6,2,30099,1120895
58871,8,7,5,25091,1325707
74029,6,6,4,36360,1593348
56849,4,6,3,43522,605073
73587,5,6,2,25271,1064510
49728,5,7,3,37608,872366
60631,5,7,3,40928,1117742
78404,7,6,3,49398,1935173
86611,4,8,3,45359,1668671
58914,6,6,2,35282,1072705
75867,5,8,4,56294,1914747
66581,5,5,3,18230,839194
62820,7,7,6,23734,1285158
69711,6,8,3,36291,1433615
82710,6,5,4,44768,1459343
58828,7,8,6,44277,1652846
53161,4,8,4,30535,725831
79361,4,6,3,53875,1378864
58325,6,7,6,31256,1003942
55772,5,6,2,41638,729883
71893,5,7,3,40364,1270048
75922,6,6,2,49458,1695706
54648,5,8,4,20270,714823
71857,6,6,4,52563,1462899
67424,5,7,6,32412,1127260
70564,5,6,4,38376,1014226
74237,4,4,4,37651,852983
58004,5,8,6,29182,830287
101928,4,9,4,22804,1938866
55809,6,6,4,49001,1247645
48357,4,7,3,45206,813415
65017,5,5,2,26910,679373
66949,5,5,3,30323,814879
82848,5,6,4,40338,1489540
65851,6,7,5,36110,1468739
93579,5,6,4,38977,1859884
76114,6,7,5,42601,1558759
84289,7,7,4,42768,2120888
57715,5,7,5,19844,790599
85825,6,6,3,13983,1137465
62765,7,7,4,22272,1369753
70205,5,8,5,26973,1433221
66595,4,7,3,42385,1373048
64303,5,6,3,20214,941951
57358,7,7,3,22061,948280
74216,6,7,3,45068,1365036
68503,4,8,4,34699,1289082
55481,5,9,3,42179,1398979
75265,8,7,5,13108,1559679
68854,6,8,5,37482,1485677
74854,4,7,4,50538,1553593
54634,5,8,6,41564,1179278
57098,8,5,2,42721,1262466
68035,6,8,4,34174,1663509
63128,5,6,3,39536,930012
62937,6,8,3,38082,1584168
82915,7,7,5,50445,2185480
70138,6,6,4,44684,1529029
75611,5,7,6,22047,998241
42822,6,4,3,29670,513216
60145,7,8,5,25198,1136448
87853,6,7,6,42302,1898669
66392,5,8,5,26623,1255576
58204,6,7,5,46663,1367641
88244,6,8,3,25791,1788285
68737,4,8,6,34216,1230363
56423,4,8,3,40155,1000217
66678,3,7,5,23031,587008
71517,7,7,5,40239,1734373
66097,3,6,4,37467,762167
76423,7,7,5,24402,1532846
72660,5,6,4,48711,1243502
92787,5,6,2,36590,1628878
78535,7,7,3,44280,1767331
58110,5,6,2,49355,1308753
71614,6,8,4,29922,1311681
76813,6,6,3,31822,1567368
73508,6,6,3,34894,1126821
63805,7,5,4,48433,1473762
67651,6,6,4,50823,1366001
69086,5,9,6,39890,1677612
93822,7,6,3,28555,1789973
89808,6,8,3,30847,1961716
64896,5,4,2,33201,673225
61853,7,7,3,23811,1230391
64205,5,6,2,48649,1124818
74872,6,7,3,20068,1090996
81980,5,8,3,41393,1570154
52801,5,6,3,21518,685123
54510,5,8,4,20211,845553
61868,5,4,3,34967,974806
63655,7,7,3,16409,1247661
86031,5,7,5,35417,1381417
72748,6,8,6,40137,1726364
61839,7,5,3,26064,961539
76519,6,6,2,28961,1359978
76774,6,6,2,34313,1384466
76659,5,7,6,41717,1531447
71371,5,5,3,52265,1418596
83460,5,6,2,31385,1476387
74740,5,5,4,29954,1168355
70229,6,7,6,28829,1222701
72950,5,5,4,38711,987448
58515,5,6,4,33776,982791
52207,5,7,5,21095,527749
72821,6,7,5,40594,1391233
66250,4,7,3,24201,1094322
74275,6,8,6,38535,1610217
81167,8,6,4,28713,1768705
56119,7,7,4,36041,1236258
84998,5,6,3,28623,1329007
69604,7,7,6,40684,1704127
70775,6,6,3,40561,1321888
66236,6,5,3,38906,1113937
57451,5,7,5,38532,1043628
66293,6,7,6,48877,1663654
69100,4,6,2,46139,969679
75729,5,7,4,29996,1183015
58599,5,7,3,26569,957815
59498,5,7,3,25401,912892
72409,6,8,6,40605,1479758
69316,6,7,4,24448,1431508
68656,7,8,6,43833,1747911
71240,5,8,5,42566,1563083
73223,5,7,6,41113,1425745
60968,5,5,4,28483,804454
65935,5,8,4,36262,1060441
62773,4,6,4,41389,954737
69304,5,7,3,29465,1152604
73218,4,5,4,31619,955944
63787,4,6,3,22449,433247
76613,7,7,5,43250,1718877
64461,7,6,2,34210,1236875
41533,6,5,4,31685,682200
79575,4,5,4,31050,1141917
82185,5,5,4,29258,1162735
69853,7,7,6,41913,1681341
51519,6,5,4,43258,945982
48616,7,6,4,29770,854045
63324,7,6,4,43281,1372994
65016,2,8,6,15902,414571
76855,4,6,2,45388,1240320
75302,6,7,4,42382,1640647
69438,6,7,4,57775,1537336
75764,4,6,2,36712,1337967
68814,5,5,3,42285,1085113
60912,6,6,4,20915,905329
41007,5,6,3,39526,494743
61949,6,6,2,42092,1237361
67421,4,7,6,20167,864899
68428,5,6,3,31074,1002193
61839,5,6,4,17244,800110
62835,7,7,5,50097,1410332
72485,4,5,2,43134,1036383
60945,4,5,3,34162,437146
83729,4,5,3,12906,624433
57605,7,5,2,49411,1179441
75358,8,7,3,21319,1740405
53927,4,5,3,37875,706135
60776,6,5,3,28318,870252
69648,5,6,3,36038,1106150
59295,4,8,4,46784,1192678
97548,5,6,2,39089,2026303
61688,6,8,6,35552,1311473
72469,5,8,3,27227,1123387
76048,6,7,6,22469,1205750
79186,6,9,6,17840,1582140
49220,5,6,2,46981,573435
80040,6,8,5,29699,1735826
51995,6,6,2,47073,1052185
52711,7,8,4,25594,1151282
56934,8,7,3,37076,1531217
66760,5,5,3,42292,1103353
52376,5,4,2,34189,308200
70224,7,6,4,40274,1423296
62612,6,6,3,40789,1315684
80284,5,4,2,23457,637952
66811,6,5,2,33499,1027191
51142,5,7,6,41872,729679
90535,5,5,2,42249,1676770
93185,5,6,2,23723,1569122
70743,5,5,3,26897,874970
56024,6,7,4,36215,1172413
76224,6,5,2,50003,1538985
89671,4,8,5,15625,1286573
89825,6,6,3,18598,1646033
61013,6,6,3,34771,1147313
63362,6,5,4,34971,976484
57086,5,7,4,39002,1073350
69044,4,5,4,34764,1084256
81438,4,6,2,43340,1432252
78299,6,7,3,39298,1676071
87386,6,6,3,31735,1580557
83149,6,5,3,45985,1549874
94085,6,9,5,31011,1989673
60710,5,7,6,44101,1286981
71309,7,8,4,32356,1752968
93303,4,7,3,38162,1529711
85631,5,8,4,42811,1710612
51359,6,5,2,40796,774010
75868,5,6,3,39295,1536144
82733,5,8,5,39060,1662939
67043,5,5,4,53738,1443027
67037,5,6,3,41042,1282258
56696,6,9,3,26083,1245968
65837,6,6,4,18249,1025909
79477,5,6,3,30411,1380070
55048,4,6,2,25092,288709
80613,4,7,5,35692,1247581
76848,7,7,6,43978,1767399
83586,6,7,4,34277,1588550
86343,5,7,3,35780,1685217
65846,6,6,3,28214,928950
69577,6,8,5,48122,1565931
61581,4,6,2,43070,926883
79097,5,8,5,43950,1770617
68988,5,8,4,28734,1279354
46926,4,5,3,53820,530765
84708,8,8,4,28218,1874896
79619,5,7,6,34605,1422890
61795,7,6,4,40719,1245788
54621,6,7,5,44500,1248131
70153,7,6,4,31863,1535565
79292,6,8,4,27772,1709442
67348,4,8,4,52158,1433260
73355,6,7,6,28007,1282759
68958,6,7,3,46682,1682709
44088,7,5,2,31032,624483
80650,5,7,6,54516,1651685
57945,4,7,3,23040,768035
63625,5,5,2,35778,1001877
60684,6,8,6,42643,1500821
90160,3,5,2,34010,1273988
62016,4,6,2,48896,1031046
79261,5,7,6,36128,1508199
49205,6,6,4,30395,773996
84973,6,7,6,38072,1723707
80573,3,8,3,34411,1260827
71062,7,6,4,30770,1367143
85828,5,7,5,29248,1303092
67868,7,6,4,32732,1341870
72778,6,7,4,24559,1188417
73304,4,7,6,24283,1155077
68025,5,6,4,35478,1048969
81024,5,6,2,25837,1319478
69289,4,6,4,40695,1022409
72695,5,6,4,48115,1394971
67568,4,7,4,36474,1183344
76503,5,6,4,42154,1259920
66273,4,6,2,12950,579586
57736,7,7,4,45688,1591188
73505,7,7,6,31536,1437154
60537,4,6,3,31247,851019
66544,6,6,2,34141,1321037
60754,6,6,3,29425,1112286
86160,4,7,3,47757,1509969
44577,7,7,5,27835,959626
61951,5,7,5,38737,1032180
79027,5,6,3,21387,1232015
69186,7,6,4,49505,1575101
84268,4,7,4,31182,1257433
93719,6,7,5,39900,2173809
65218,5,7,5,34863,1115549
78169,5,5,3,44503,1397956
63907,5,8,4,28299,1003905
74867,6,6,4,57841,1614374
73950,6,6,2,30518,1463368
74158,4,8,3,32580,966621
63280,7,7,3,43031,1453663
75869,5,7,5,32436,1321389
61171,4,7,6,41919,910513
66120,5,7,5,28439,1029354
79566,5,7,5,49311,1608889
84020,5,7,4,25975,1458009
83936,7,6,3,55471,2198565
60007,7,6,4,47734,1281778
60125,7,7,3,25424,1196643
70580,6,8,3,36626,1578494
53029,4,6,2,34472,430088
55289,5,7,5,30773,677988
71776,5,8,5,29802,1085534
75999,6,7,4,35183,1634781
56265,5,7,3,40493,1167450
61590,6,6,4,34460,1067727
71172,5,6,4,23264,887739
57925,3,7,6,40177,842925
75025,3,6,4,33970,864067
53080,5,6,2,23763,508952
64629,6,4,3,46877,1223777
62559,4,8,5,44521,1029037
90691,5,7,6,20846,1487998
77700,6,8,6,38827,1836420
66141,5,7,3,37355,1148067
79990,6,5,4,37816,1318681
76293,5,5,4,40712,1174481
76255,6,7,3,41297,1522955
76365,4,8,3,19991,1132146
73438,6,6,3,33285,1212462
46474,7,7,5,28182,864132
68562,6,7,3,35476,1336378
63785,7,6,4,67353,1747245
71320,4,7,4,47871,1398354
93128,6,7,4,42100,2020158
71833,5,4,3,31326,877779
51815,5,8,3,43604,1255202
69245,5,6,2,37597,1173414
63765,6,8,5,34303,1326680
81844,5,7,6,51937,1585522
62798,5,6,3,34652,1106337
56281,5,7,6,29141,962502
67059,6,7,5,51237,1408075
58385,7,6,2,41930,1266210
70259,6,7,6,54050,1741053
87929,5,5,3,44486,1636559
94733,7,7,5,46314,2318286
73504,4,8,5,47118,1409892
78643,7,5,3,13889,1166198
78318,5,5,2,41569,1393996
63639,6,8,5,41448,1462609
81728,5,7,6,51629,1922281
89551,5,6,2,43964,1587406
49493,6,7,3,39909,967869
61461,5,7,4,49688,1426546
72692,6,8,3,33125,1725430
79702,6,8,6,46270,1753821
54994,5,6,2,15444,321059
57327,6,7,3,28945,1089602
74585,4,5,3,48051,1137523
77334,4,8,4,37905,1371670
77132,7,5,2,47450,1595621
96778,4,7,6,37480,1899948
52046,5,5,3,41715,674658
78350,7,7,6,23052,1555491
61602,5,6,3,45188,1194192
84452,5,7,4,38221,1482107
84712,5,7,4,11072,1154917
61492,6,6,3,37743,1050839
37971,4,5,3,33267,31141
73158,7,8,3,25175,1748865
74622,7,6,3,30736,1287031
58956,7,7,6,38529,1237246
69253,6,8,3,22524,1259734
47549,6,8,5,43526,1028914
73271,5,6,3,39446,1388219
61478,4,6,4,36837,637190
62317,7,7,3,47836,1717571
65464,4,7,4,26065,729689
87883,7,5,3,41012,2049147
67819,6,6,3,37515,1340705
65659,7,4,2,40337,980983
68827,5,6,2,45935,1518169
71152,3,7,3,40951,1002840
80939,6,7,3,27771,1499921
66860,7,7,5,36035,1496577
64314,7,7,6,37217,1526915
63867,6,8,4,14522,917611
81220,6,6,2,32859,1572990
60880,6,7,3,42877,959416
66553,5,6,2,23632,960084
72896,6,7,3,40426,1526026
59160,6,7,3,23252,1006886
66412,5,5,3,50996,1105105
67026,5,5,2,27677,625881
77151,7,8,4,27117,1799827
69799,5,5,4,38340,1152799
55768,5,6,4,47989,846096
81699,6,7,3,19502,1387865
57367,5,8,4,47734,1414287
80488,5,4,2,36743,1273309
68091,5,7,3,44557,1489648
82587,5,6,3,55932,1765988
57407,7,6,2,27117,934112
64332,4,8,5,30812,1095879
66039,4,9,6,15612,876349
62397,5,6,3,40739,854946
84810,6,6,2,28392,1349743
67051,4,7,3,39735,970826
83907,6,6,3,46091,1796010
62345,5,6,4,41982,934492
60960,3,7,3,28171,584061
68353,5,7,5,27804,895846
58661,6,6,4,17467,696040
66131,6,6,2,40979,1204137
67351,5,6,4,47175,1413730
59933,5,6,3,28593,607874
60840,5,6,2,36241,971099
94712,5,5,2,49411,1714056
74469,6,7,3,46500,1956439
78753,6,8,3,50350,2013016
80233,5,7,5,26263,1390498
84473,5,7,4,31608,1529452
78049,3,5,3,42857,1143215
93178,6,7,6,42808,1949578
69949,5,5,4,37358,1057799
85903,5,6,2,25593,1585874
65283,5,7,4,37824,1168994
79191,7,5,4,35107,1431916
72242,4,7,6,43987,1409439
63125,7,7,3,51218,1496724
78581,5,7,4,50891,1566568
59481,4,7,4,31200,986113
66770,5,6,4,33238,885612
75368,5,6,3,32075,1102260
60419,6,6,2,38272,1268126
78555,7,6,4,34514,1580692
82073,5,7,4,36337,1128644
64254,5,8,4,58051,1524689
53432,6,8,5,36804,1176421
67883,7,7,5,34639,1456274
91832,6,7,4,31105,1777516
70670,6,6,3,23592,1237903
70315,5,6,4,49697,1385784
48362,6,8,4,49354,1035126
74022,6,5,4,30053,1358900
65182,4,8,6,48109,1311146
54048,4,7,5,42177,919927
72283,5,5,4,40277,985866
82476,4,6,3,30985,1196205
79771,6,7,5,30611,1435981
57236,3,7,3,24726,752800
43952,5,7,4,25139,324982
56721,7,7,3,22904,1127638
56654,5,5,3,25801,239320
40185,5,5,4,37766,529282
71227,6,8,4,20096,1455692
52444,8,7,4,39288,1371527
56825,6,7,6,43474,1231452
55621,3,6,2,63184,1102641
66510,5,5,2,29293,758263
62639,5,5,2,27812,476971
79452,6,6,4,44852,1706690
83137,5,5,2,30482,1079745
69143,4,6,4,24405,766594
68277,5,5,3,38099,905045
72251,6,7,4,34878,1425115
71373,5,7,5,51509,1512542
81503,6,6,3,46674,1650342
60569,7,8,3,16351,1112548
72683,6,6,3,18539,942509
73763,6,7,4,38550,1642845
75780,5,7,4,34944,1078713
77882,6,7,6,27528,1333865
70608,4,7,3,24387,684050
67782,5,8,6,46608,1311067
57714,4,7,5,53100,1172133
88613,3,7,5,42905,1419536
73559,6,6,4,34374,1288427
81775,5,7,6,30070,1500940
42462,6,8,4,42191,1000087
72096,6,9,3,31584,1457768
43921,5,7,5,42250,747933
64114,6,7,3,25273,1024738
77573,4,8,3,39055,1517667
70036,6,6,2,25064,953841
71183,5,7,4,46955,1375498
67315,6,8,4,37811,1645530
72813,8,8,3,35014,1727007
73023,5,8,5,40512,1597330
67569,7,6,4,49054,1688279
69972,6,7,4,37815,1398310
73231,5,5,3,40788,1100094
80577,5,7,5,36463,1505561
64754,7,5,2,27143,1105991
55435,5,7,5,23503,789044
65510,4,5,2,45111,756320
82855,6,8,5,36954,1856783
89338,3,6,3,41264,1222021
45990,6,7,3,41553,1043968
76801,6,7,5,48481,1673294
61606,6,6,2,40496,1325861
65428,6,7,5,33141,1236044
56697,6,6,2,37973,1030760
92151,5,6,2,37067,1609582
78555,5,6,3,29758,1292287
72204,5,7,5,28943,1057698
51741,7,4,2,32730,768153
71082,7,6,4,31327,1513428
71328,6,6,4,28053,1429498
67150,6,7,3,39917,1376970
59777,4,5,2,37836,614701
62725,5,7,5,19750,780609
65533,5,6,4,25002,856549
78293,5,6,2,47125,1656080
74371,6,6,4,33186,1249914
56664,6,6,2,28364,817460
60058,6,5,4,33581,990893
63757,5,8,4,27244,972080
81026,6,8,4,24407,1349990
83683,6,7,3,38399,1303542
56103,4,4,3,41330,593766
67454,4,7,4,49237,1243919
67631,8,6,2,24624,1395856
52988,6,7,3,37791,1112314
59549,6,5,2,14906,850010
58832,5,7,5,30200,931788
76717,5,6,4,34944,1011141
73422,5,4,3,50997,1190442
59128,5,5,2,45592,916140
65614,5,7,6,39353,1222045
68851,7,6,2,22121,1232156
43531,6,6,2,37388,652753
53763,7,7,5,32306,1219847
68948,8,8,5,40078,2050988
70795,6,7,3,29887,1359053
72443,5,8,6,31190,1308773
82781,5,7,4,39587,1573999
67428,5,7,6,40897,1182981
65841,5,6,2,48253,1029862
72257,5,6,4,33543,1085943
74243,6,7,4,40328,1713351
71758,6,6,2,42115,1297619
67511,6,6,3,23162,1096053
71301,7,8,4,44869,1920528
55784,8,6,2,29304,1035171
66840,6,7,6,32705,1218011
58098,7,6,3,43299,1106705
66252,5,5,3,33656,664979
73226,6,7,4,30464,1316129
70138,6,6,4,33434,1398760
65041,6,6,4,14486,759800
68167,5,6,2,13977,776906
61300,5,7,4,29408,971929
65175,6,6,3,29829,1180091
79037,6,6,2,30037,1201786
75985,6,7,5,50003,1591235
35963,3,8,3,24435,143027
65069,6,5,3,36778,1091143
60712,6,7,3,47783,1249174
77456,7,8,3,45581,2002029
61370,6,6,4,20600,824541
79863,6,6,3,35048,1511527
57980,6,8,6,25053,994258
63600,7,5,2,53539,1345297
62113,5,8,6,29401,1166400
82810,7,6,4,39779,1820981
69380,6,6,4,25327,1023965
69632,4,5,2,34641,889386
60377,3,7,4,29114,616738
82103,6,7,6,49015,1784261
49856,6,7,5,51528,1050541
68386,6,6,2,37894,1389224
78288,6,7,5,29197,1423908
60762,4,8,3,46303,1069238
58913,5,7,3,45563,1007856
65580,4,6,3,48220,924346
77021,6,7,3,27855,1453312
78276,4,5,4,21371,782656
71336,4,7,3,25377,803689
77528,6,7,4,23976,1439876
68195,6,7,6,26921,1270870
70834,4,7,5,53490,1347279
94670,6,8,4,39522,2186195
48524,7,6,2,41554,1082487
83403,7,9,3,26319,1700110
75219,7,6,3,37863,1623101
68145,5,5,3,39187,943309
84913,4,6,2,46136,1409684
82336,6,6,3,37965,1326482
51962,5,6,3,17403,404644
57169,5,6,4,47966,1176655
57925,3,6,2,43867,633876
77905,5,7,6,29282,1390251
62714,4,5,3,41998,861138
64901,4,6,3,47452,1151233
51156,5,6,2,25753,686645
63766,6,7,6,33036,1261682
61460,6,7,6,40814,1327811
61907,7,6,3,43828,1339096
72805,4,7,6,30874,987356
66204,5,8,5,36185,1384478
74548,6,5,3,40444,1168919
76453,6,5,4,51497,1522100
79354,6,5,3,31568,1260375
70064,5,4,3,28122,857762
74559,5,6,2,29892,1126450
82321,5,6,2,48616,1574085
43526,6,6,2,39760,469263
71769,6,6,4,28173,1114169
89056,3,7,5,60658,1792369
66418,5,8,3,45319,1383842
44439,5,7,5,37934,691318
69343,5,9,5,30113,1245070
95997,6,6,3,47128,2220799
62616,4,6,2,31010,854815
76393,7,9,3,46361,2092348
55840,4,7,3,30795,781213
69882,5,5,4,19544,726884
87099,6,6,3,44581,1640990
67716,6,7,5,40562,1535782
69624,6,7,4,57644,1737759
78706,5,8,4,36414,1550702
61321,5,9,5,29888,1348873
62709,5,7,3,34182,955446
66300,6,8,6,38501,1467911
75126,8,7,5,36544,1742939
68251,8,7,6,38203,1795631
85175,7,7,3,3285,1305972
62381,6,9,6,31391,1433542
69099,5,5,3,37540,921397
73246,4,7,4,47332,1405400
59901,5,8,6,30210,1088549
55038,4,8,5,27701,738031
69505,7,10,5,48112,2235295
67964,7,6,3,52831,1564253
71112,5,7,4,24134,1309937
76759,7,7,5,23752,1660770
82988,6,8,5,31142,1485418
71106,5,5,4,25861,886125
75516,6,6,4,35521,1411024
60805,4,7,3,31185,671344
61865,5,6,2,41492,992585
64241,5,7,6,27768,944590
77697,6,7,4,40523,1399909
63044,5,5,4,32725,865100
74102,6,6,4,43971,1394424
62514,4,6,3,40891,813808
63237,7,5,2,55849,1316180
75951,5,6,3,31125,1212205
66803,6,8,5,57970,1769485
45347,5,7,4,31335,541954
67722,6,7,4,37869,1494101
58108,4,5,3,37642,856023
60871,6,7,6,38111,1427843
76087,5,7,5,27616,1228138
73965,5,6,2,34440,1168628
69931,6,5,2,52079,1389287
77316,4,5,2,51096,1243982
76896,4,8,4,52733,1584440
76919,4,7,4,52945,1622837
64402,5,8,4,24965,1031147
58410,7,5,4,31189,1098518
53427,5,7,3,34538,909781
73649,6,5,4,47992,1431517
93455,4,6,2,31135,1636996
75843,5,6,4,61126,1658975
62021,5,8,5,35276,1168887
77064,6,7,3,43570,1720259
77785,4,5,2,43301,1129409
61784,6,6,2,27725,778837
78827,5,6,4,32865,1276472
64767,4,7,5,26414,839426
51457,6,6,3,42889,794076
66233,6,7,6,29548,1372550
72196,5,5,2,32255,1084539
50926,4,6,4,33663,211018
56086,7,7,3,33454,1186372
68985,5,8,6,16288,1140919
48855,7,8,5,49890,1471828
63499,4,6,3,38263,803260
73218,5,6,4,34818,1124719
83637,6,6,2,25962,1396401
48879,6,8,3,30730,802274
77187,6,6,4,35106,1646663
72441,6,6,4,38368,1202621
57812,4,7,5,46060,1066768
64811,6,6,3,40549,1153135
86563,5,7,4,44920,1706111
86586,4,6,2,40282,1543913
49601,4,5,2,33836,302307
71920,6,7,6,26341,1134055
68355,7,6,4,38950,1352757
64350,6,7,3,69592,1772391
61481,4,7,3,39586,1014451
39294,5,5,4,43183,781137
59078,6,5,4,34655,921238
57972,4,6,4,40092,790556
79689,5,6,3,38313,1420648
47018,5,6,4,23925,377619
56252,5,6,4,44305,945080
65741,7,7,4,37647,1630953
53066,6,8,3,19103,1009972
71368,6,7,6,35376,1372807
40752,5,6,4,41565,560599
64296,7,8,5,37562,1484654
50172,6,7,4,32764,940139
70564,6,6,2,37339,1354077
67866,5,9,5,43122,1400961
77106,7,5,2,36215,1426832
74418,5,6,4,27089,1031737
58002,7,7,6,30249,1244249
63217,6,5,2,31925,1070868
49740,4,6,4,25545,493350
75361,5,7,3,23530,1228323
62594,5,7,3,46459,1427027
62212,7,7,6,40620,1504664
60610,4,5,4,49512,689156
82777,5,7,5,42582,1481171
50716,6,8,5,35879,1092650
61905,5,7,6,36380,962582
68246,3,7,3,24553,688479
85174,4,5,4,38773,1363106
63342,4,6,2,25009,826328
74022,5,7,4,36533,1434575
78866,6,6,3,39816,1509423
71721,2,7,6,10704,395440
76076,6,7,6,46298,1765809
52568,7,6,2,38555,1135676
69851,5,7,3,19560,1006228
58068,5,6,3,29519,576387
60134,4,8,3,39200,1044616
72967,6,6,4,49140,1765352
63820,7,6,3,28737,1049632
78700,6,7,4,35193,1456970
62806,5,8,4,33498,1331375
71595,6,8,5,37271,1779875
85441,4,7,6,46302,1601153
86562,7,7,5,32621,1702529
74646,4,6,4,36679,1123765
63686,5,8,3,18163,1042144
60530,4,7,4,34043,869027
74826,5,7,6,32639,1352994
71639,6,5,3,28995,945931
81439,5,7,5,37565,1653381
85297,4,5,2,28319,1258958
64044,4,5,4,32940,724122
67828,5,8,5,34981,1067872
60028,5,6,3,36651,842236
63700,5,7,6,38397,954154
74010,6,6,2,46239,1356691
67094,5,7,4,30022,1202993
66714,6,7,6,53185,1502448
72745,7,7,4,53000,1947338
79923,4,7,5,33828,1153517
48510,6,4,3,31451,414165
50534,6,5,4,26627,723090
55543,6,7,5,40063,1193483
85466,5,4,3,38191,1380603
48735,5,6,2,19682,151527
76388,5,6,2,36841,1114730
73279,5,8,3,13981,984421
64661,4,5,2,49457,875905
59390,5,6,4,28995,788428
66064,6,6,4,44561,1444701
72488,5,8,4,41199,1450394
70793,4,6,3,19908,921321
78241,5,8,6,20547,1160146
72752,6,8,6,24944,1222690
78963,6,5,3,59974,2004396
49775,5,6,2,23557,454056
87768,5,6,2,45801,1698199
65449,7,5,4,34828,1193107
85193,6,4,4,38784,1275403
67933,3,6,2,42772,810752
50316,6,7,3,25201,642863
53974,5,6,4,41441,1086826
63049,5,6,3,24985,773361
85906,6,7,5,21331,1500963
62355,5,5,4,23767,768302
64749,7,8,4,49537,1781211
75072,5,9,5,27494,1420470
79345,5,7,3,37573,1380216
67682,5,6,4,37028,1090805
57869,5,7,3,31818,886816
60027,5,6,3,54738,1007225
71146,6,5,3,22875,1077754
52455,7,7,6,35143,1253648
66967,3,5,3,51554,1102943
59013,5,5,2,28264,744133
70370,7,8,6,53832,1845630
66989,5,5,3,37017,873588
64050,5,6,3,29083,755678
71195,6,4,2,29508,1101826
82866,4,7,4,41166,1618994
60826,6,6,3,36892,1127874
65543,3,7,6,28939,749847
62902,6,6,3,27321,984672
59030,6,5,2,22803,534077
66320,5,7,5,36145,1242114
68964,6,6,3,37587,1273631
68994,6,7,6,30609,1095598
58517,7,7,6,30888,1364738
65018,5,6,3,32580,1037147
74656,6,7,4,22602,1228517
57697,5,6,2,18281,759361
69234,6,6,3,38322,1140580
63015,5,6,3,26673,810742
52022,5,6,3,31320,642855
80058,6,6,4,23360,1562950
87332,5,6,3,43754,1599852
63658,6,6,2,39591,1332669
46517,6,7,5,26452,665160
88305,6,6,3,32190,1591384
49784,6,8,4,36564,1144507
84054,6,7,5,23023,1619722
66774,5,7,4,36788,1251689
70981,6,8,6,53542,1882807
70767,5,7,6,26925,1016163
77103,6,8,4,45746,1721005
67742,4,8,5,30678,890138
76443,6,5,3,40128,1272720
78115,6,6,4,45024,1582606
69500,5,6,3,48767,1170204
81535,3,6,3,50999,1166750
41240,5,5,4,40888,319496
45073,8,4,3,38066,704698
53173,5,6,2,43600,945615
80900,6,9,4,40268,2054897
69227,3,9,6,42582,1280231
54858,5,5,4,36228,850115
77098,7,6,3,46478,1637650
104702,5,6,3,22560,1742432
50473,5,6,3,50145,942094
75675,4,6,3,45103,1388783
72727,6,5,3,27159,996506
56428,3,6,4,44877,790803
43496,6,6,2,35726,718651
77875,5,7,6,44452,1517142
58511,4,6,3,28270,496360
69167,4,6,3,26517,820611
65687,7,6,4,17386,1122321
57814,5,6,2,32880,846939
66234,5,8,5,35130,1540762
65431,4,7,4,38499,963532
76009,5,6,2,52832,1590804
78997,6,6,2,30165,1283415
64720,7,6,3,37203,1447921
56652,6,8,5,11037,742859
68311,6,5,4,39724,1400609
73462,6,5,3,47637,1638577
60731,6,8,5,35341,1235476
74655,5,7,4,22169,1249418
75823,6,6,2,35783,1499356
78988,3,5,4,31677,1005844
52868,5,3,4,41849,623722
64251,4,5,4,45172,922514
74555,7,6,4,32938,1638607
70355,6,7,5,39882,1249224
92052,5,7,5,47343,1928302
82073,6,5,4,34317,1487730
52699,6,8,3,30299,896304
